country,iso3,who_region,data_source,date_updated,total_vaccinations,persons_vaccinated_1plus_dose,total_vaccinations_per100,persons_vaccinated_1plus_dose_per100,vaccines_used,first_vaccine_date,number_vaccines_types_used
Afghanistan,AFG,EMRO,REPORTING,2021-06-22,765890.0,582128.0,1.967,1.495,"Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-22,3.0
Albania,ALB,EURO,REPORTING,2021-06-20,875580.0,510783.0,30.4,17.749,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-01-13,5.0
Algeria,DZA,AFRO,REPORTING,2021-06-24,,,,,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,SII - Covishield",2021-01-30,3.0
American Samoa,ASM,WPRO,REPORTING,2021-06-21,44293.0,24408.0,80.245,44.22,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-21,3.0
Andorra,AND,EURO,REPORTING,2021-06-20,63272.0,38665.0,81.9,50.042,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2021-01-20,2.0
Angola,AGO,AFRO,REPORTING,2021-06-24,1432699.0,909119.0,4.359,2.766,SII - Covishield,2021-03-10,1.0
Anguilla,AIA,AMRO,REPORTING,2021-06-18,15198.0,9183.0,101.306,61.212,AstraZeneca - Vaxzevria,2021-02-05,1.0
Antigua and Barbuda,ATG,AMRO,REPORTING,2021-06-18,60011.0,35350.0,61.28,36.098,"AstraZeneca - Vaxzevria,SII - Covishield",2021-02-19,2.0
Argentina,ARG,AMRO,REPORTING,2021-06-18,17475935.0,13852316.0,38.667,30.65,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,SII - Covishield",2020-12-29,4.0
Armenia,ARM,EURO,REPORTING,2021-06-20,64293.0,52509.0,2.2,1.772,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Sinovac - CoronaVac",2021-06-16,3.0
Aruba,ABW,AMRO,REPORTING,2021-06-18,122680.0,66466.0,114.905,62.254,"Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty",2021-02-17,2.0
Australia,AUS,WPRO,REPORTING,2021-06-21,6719384.0,5921186.0,26.351,23.22,"AstraZeneca - Vaxzevria,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2021-02-22,3.0
Austria,AUT,EURO,REPORTING,2021-06-20,6975733.0,4467648.0,78.4,50.192,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,4.0
Azerbaijan,AZE,EURO,REPORTING,2021-06-13,2774693.0,1810344.0,27.4,17.855,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-20,4.0
Bahamas,BHS,AMRO,REPORTING,2021-06-18,68119.0,50292.0,17.322,12.789,"AstraZeneca - Vaxzevria,SII - Covishield",2021-03-14,2.0
Bahrain,BHR,EMRO,REPORTING,2021-06-24,1978826.0,1048212.0,116.294,61.602,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-12-25,6.0
Bangladesh,BGD,SEARO,REPORTING,2021-06-22,10119041.0,5842531.0,6.144,3.548,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-01-27,4.0
Barbados,BRB,AMRO,REPORTING,2021-06-18,153350.0,89921.0,53.362,31.29,"AstraZeneca - Vaxzevria,SII - Covishield",2021-02-10,2.0
Belarus,BLR,EURO,REPORTING,2021-06-13,1068413.0,699141.0,11.3,7.399,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V",2021-02-03,2.0
Belgium,BEL,EURO,REPORTING,2021-06-20,9886360.0,6353879.0,85.8,55.144,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,4.0
Belize,BLZ,AMRO,REPORTING,2021-06-18,95452.0,75123.0,24.005,18.893,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-03-01,3.0
Benin,BEN,AFRO,REPORTING,2021-06-24,26518.0,21834.0,0.219,0.18,"SII - Covishield,Sinovac - CoronaVac",2021-03-29,2.0
Bermuda,BMU,AMRO,REPORTING,2021-06-18,76526.0,41010.0,122.888,65.855,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2021-01-11,2.0
Bhutan,BTN,SEARO,REPORTING,2021-06-20,484751.0,484751.0,62.823,62.823,"Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-27,2.0
Bolivia (Plurinational State of),BOL,AMRO,REPORTING,2021-06-18,2205639.0,1630477.0,18.895,13.968,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-01-30,4.0
Bonaire,XAA,AMRO,REPORTING,2021-06-18,26469.0,14601.0,126.555,69.811,,,
"Bonaire, Sint Eustatius and Saba",BES,AMRO,REPORTING,2021-04-09,7391.0,5726.0,28.441,22.034,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-02-22,2.0
Bosnia and Herzegovina,BIH,EURO,OWID,2021-06-13,315780.0,252499.0,9.6,7.696,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V",,4.0
Botswana,BWA,AFRO,REPORTING,2021-06-24,153100.0,153100.0,6.51,6.51,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-26,4.0
Brazil,BRA,AMRO,REPORTING,2021-06-18,78583450.0,56438293.0,36.97,26.552,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-01-17,4.0
British Virgin Islands,VGB,AMRO,REPORTING,2021-06-18,20278.0,12405.0,67.064,41.026,AstraZeneca - Vaxzevria,2021-02-11,1.0
Brunei Darussalam,BRN,WPRO,REPORTING,2021-06-21,65971.0,54164.0,15.08,12.381,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-04-03,5.0
Bulgaria,BGR,EURO,REPORTING,2021-06-20,1685853.0,911282.0,24.3,13.109,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,4.0
Burkina Faso,BFA,AFRO,REPORTING,2021-06-24,17775.0,17775.0,0.085,0.085,SII - Covishield,2021-06-02,1.0
Cabo Verde,CPV,AFRO,REPORTING,2021-06-24,74321.0,70333.0,13.367,12.65,"Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-18,2.0
Cambodia,KHM,WPRO,REPORTING,2021-06-19,5924894.0,3257857.0,35.438,19.486,"Beijing CNBG - BBIBP-CorV,SII - Covishield,Sinovac - CoronaVac",2021-02-10,3.0
Cameroon,CMR,AFRO,REPORTING,2021-06-24,102400.0,82228.0,0.386,0.31,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-04-12,2.0
Canada,CAN,AMRO,REPORTING,2021-06-18,30885092.0,24880007.0,81.832,65.921,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-12-14,3.0
Cayman Islands,CYM,AMRO,REPORTING,2021-06-18,86711.0,46928.0,131.94,71.406,Pfizer BioNTech - Comirnaty,2021-01-15,1.0
Central African Republic,CAF,AFRO,REPORTING,2021-06-24,77543.0,85879.0,1.606,1.778,"Bharat - Covaxin,SII - Covishield",2021-03-19,2.0
Chad,TCD,AFRO,REPORTING,2021-06-24,5324.0,5324.0,0.032,0.032,Beijing CNBG - BBIBP-CorV,2021-06-04,1.0
Chile,CHL,AMRO,REPORTING,2021-06-18,20865921.0,11832657.0,109.153,61.899,"AstraZeneca - Vaxzevria,CanSino - Ad5-nCOV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2020-12-21,4.0
China,CHN,WPRO,REPORTING,2021-06-06,1025586471.0,,69.707,,"Anhui ZL - Recombinant,Beijing CNBG - BBIBP-CorV,CanSino - Ad5-nCOV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",2021-03-06,6.0
Colombia,COL,AMRO,REPORTING,2021-06-18,13167044.0,9291221.0,25.877,18.26,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-17,3.0
Comoros,COM,AFRO,REPORTING,2021-06-24,84360.0,43140.0,9.701,4.961,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",2021-04-10,3.0
Congo,COG,AFRO,REPORTING,2021-06-24,73410.0,30087.0,1.33,0.545,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Moderna - mRNA-1273,SII - Covishield",2021-03-23,4.0
Cook Islands,COK,WPRO,REPORTING,2021-05-05,8291.0,8291.0,47.205,47.205,Pfizer BioNTech - Comirnaty,2021-05-18,1.0
Costa Rica,CRI,AMRO,REPORTING,2021-06-18,2150520.0,1409778.0,42.216,27.675,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2020-12-24,2.0
Côte d’Ivoire,CIV,AFRO,REPORTING,2021-06-24,728874.0,657110.0,2.763,2.491,"Gamaleya - Sputnik V,SII - Covishield",2021-03-01,2.0
Croatia,HRV,EURO,REPORTING,2021-06-20,2178444.0,1404433.0,53.7,34.928,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4.0
Cuba,CUB,AMRO,REPORTING,2021-05-28,798655.0,798655.0,7.051,7.051,"Abdala, Soberana02",,2.0
Curaçao,CUW,AMRO,REPORTING,2021-06-18,163328.0,87820.0,99.534,53.518,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-02-24,3.0
Cyprus,CYP,EURO,REPORTING,2021-06-20,758288.0,442247.0,85.4,49.802,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4.0
Czechia,CZE,EURO,REPORTING,2021-06-20,7287139.0,4752677.0,68.1,44.443,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4.0
Democratic Republic of the Congo,COD,AFRO,REPORTING,2021-06-24,52856.0,44840.0,0.059,0.05,SII - Covishield,2021-04-19,1.0
Denmark,DNK,EURO,REPORTING,2021-06-20,4625216.0,2962993.0,79.4,50.886,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,4.0
Djibouti,DJI,EMRO,REPORTING,2021-06-23,26796.0,20245.0,2.712,2.049,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,SII - Covishield,Sinovac - CoronaVac",2021-03-15,4.0
Dominica,DMA,AMRO,REPORTING,2021-06-18,38646.0,20176.0,53.682,28.026,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-02-12,3.0
Dominican Republic,DOM,AMRO,REPORTING,2021-06-18,6675351.0,4344495.0,61.536,40.049,"AstraZeneca - Vaxzevria,SII - Covishield,Sinovac - CoronaVac",2021-02-16,3.0
Ecuador,ECU,AMRO,REPORTING,2021-06-18,3133387.0,2079889.0,17.76,11.789,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-21,3.0
Egypt,EGY,EMRO,REPORTING,2021-06-23,4138935.0,3418331.0,4.045,3.34,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Sinovac - CoronaVac",2021-01-24,4.0
El Salvador,SLV,AMRO,REPORTING,2021-06-18,2294464.0,1275853.0,35.375,19.67,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-17,4.0
Equatorial Guinea,GNQ,AFRO,REPORTING,2021-06-24,257146.0,148579.0,18.328,10.59,"Beijing CNBG - BBIBP-CorV,Sinovac - CoronaVac",2021-02-12,2.0
Estonia,EST,EURO,REPORTING,2021-06-20,906542.0,532302.0,68.2,40.054,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4.0
Eswatini,SWZ,AFRO,REPORTING,2021-06-24,34897.0,34897.0,3.008,3.008,SII - Covishield,2021-03-19,1.0
Ethiopia,ETH,AFRO,REPORTING,2021-06-24,1987301.0,1987301.0,1.729,1.729,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",2021-03-13,3.0
Falkland Islands (Malvinas),FLK,AMRO,OWID,2021-04-14,4407.0,2632.0,126.529,75.567,AstraZeneca - AZD1222,,1.0
Faroe Islands,FRO,EURO,OWID,2021-06-22,44414.0,26326.0,90.891,53.875,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2.0
Fiji,FJI,WPRO,REPORTING,2021-06-17,265037.0,252791.0,29.565,28.199,"AstraZeneca - Vaxzevria,SII - Covishield",2021-03-07,2.0
Finland,FIN,EURO,REPORTING,2021-06-20,3921189.0,3068255.0,71.0,55.531,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4.0
France,FRA,EURO,REPORTING,2021-06-20,48888085.0,32055997.0,72.6,47.617,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,4.0
French Guiana,GUF,AMRO,REPORTING,2021-06-18,70126.0,43182.0,23.478,14.458,,,
French Polynesia,PYF,WPRO,REPORTING,2021-06-19,115715.0,68563.0,41.193,24.408,"Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty",2021-01-18,2.0
Gabon,GAB,AFRO,REPORTING,2021-06-24,50496.0,35228.0,2.269,1.583,Beijing CNBG - BBIBP-CorV,2021-03-23,1.0
Gambia,GMB,AFRO,REPORTING,2021-06-24,40810.0,30421.0,1.689,1.259,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-03-10,2.0
Georgia,GEO,EURO,REPORTING,2021-06-20,229948.0,147643.0,5.8,3.701,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-03-17,4.0
Germany,DEU,EURO,REPORTING,2021-06-20,68115795.0,42284319.0,81.9,50.843,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4.0
Ghana,GHA,AFRO,REPORTING,2021-06-24,1232876.0,852047.0,3.968,2.742,"Gamaleya - Sputnik V,SII - Covishield",2021-03-02,2.0
Gibraltar,GIB,EURO,OWID,2021-06-21,77969.0,39174.0,231.424,116.274,Pfizer BioNTech - Comirnaty,,1.0
Greece,GRC,EURO,REPORTING,2021-06-20,7688287.0,4516512.0,71.7,42.137,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4.0
Greenland,GRL,EURO,OWID,2021-06-22,32403.0,22018.0,57.076,38.783,Moderna - mRNA-1273,,1.0
Grenada,GRD,AMRO,REPORTING,2021-06-18,29157.0,19024.0,25.912,16.907,"AstraZeneca - Vaxzevria,SII - Covishield",2021-02-15,2.0
Guadeloupe,GLP,AMRO,REPORTING,2021-06-18,91828.0,57975.0,22.95,14.489,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-01-08,5.0
Guam,GUM,WPRO,REPORTING,2021-06-21,160795.0,88362.0,95.272,52.355,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-01-04,3.0
Guatemala,GTM,AMRO,REPORTING,2021-06-18,724515.0,604173.0,4.044,3.372,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Moderna - mRNA-1273,SII - Covishield",2021-02-25,4.0
Guernsey,GGY,EURO,OWID,2021-06-22,77881.0,,120.806,,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3.0
Guinea,GIN,AFRO,REPORTING,2021-06-24,524765.0,380946.0,3.996,2.901,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-05,6.0
Guinea-Bissau,GNB,AFRO,REPORTING,2021-06-24,18035.0,18035.0,0.916,0.916,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-04-02,2.0
Guyana,GUY,AMRO,REPORTING,2021-06-18,319096.0,224853.0,40.569,28.587,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,SII - Covishield",2021-02-11,4.0
Honduras,HND,AMRO,REPORTING,2021-06-18,541792.0,484018.0,5.47,4.887,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,SII - Covishield",2021-02-26,5.0
Hungary,HUN,EURO,REPORTING,2021-06-20,9839749.0,5374335.0,100.7,55.011,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2020-12-23,7.0
Iceland,ISL,EURO,REPORTING,2021-06-20,387812.0,233589.0,106.5,64.149,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,4.0
India,IND,SEARO,REPORTING,2021-06-19,276255304.0,225282826.0,20.018,16.325,"Bharat - Covaxin,Gamaleya - Sputnik V,SII - Covishield",2021-01-16,3.0
Indonesia,IDN,SEARO,REPORTING,2021-06-22,36581555.0,23998166.0,13.374,8.774,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Sinovac - CoronaVac",2021-01-13,3.0
Iran (Islamic Republic of),IRN,EMRO,REPORTING,2021-06-21,4968642.0,4013642.0,5.916,4.779,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Sputnik V",2021-02-09,4.0
Iraq,IRQ,EMRO,REPORTING,2021-06-20,805363.0,548696.0,2.002,1.364,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",2021-03-02,4.0
Ireland,IRL,EURO,REPORTING,2021-06-20,3679531.0,2349219.0,74.1,47.321,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,4.0
Isle of Man,IMN,EURO,OWID,2021-06-22,97379.0,62418.0,114.52,73.405,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,2.0
Israel,ISR,EURO,REPORTING,2021-06-06,10583275.0,5459706.0,122.3,63.078,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-16,2.0
Italy,ITA,EURO,REPORTING,2021-06-20,46808614.0,31194243.0,78.5,52.304,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4.0
Jamaica,JAM,AMRO,REPORTING,2021-06-18,194315.0,163209.0,6.562,5.512,"AstraZeneca - Vaxzevria,SII - Covishield",2021-03-10,2.0
Japan,JPN,WPRO,REPORTING,2021-06-06,15605278.0,11481310.0,12.338,9.078,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2021-02-17,4.0
Jersey,JEY,EURO,OWID,2021-06-16,118216.0,66606.0,109.666,61.789,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3.0
Jordan,JOR,EMRO,REPORTING,2021-06-20,3002498.0,2065650.0,29.427,20.245,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-01-13,6.0
Kazakhstan,KAZ,EURO,REPORTING,2021-06-20,4428255.0,2760223.0,23.6,14.7,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,RIBSP - QazCovid,Sinovac - CoronaVac",2021-03-10,4.0
Kenya,KEN,AFRO,REPORTING,2021-06-24,1201325.0,997420.0,2.234,1.855,SII - Covishield,2021-03-05,1.0
Kiribati,KIR,WPRO,REPORTING,2021-05-26,0.0,0.0,0.001,0.001,AstraZeneca - Vaxzevria,2021-05-26,1.0
Kosovo,XKX,EURO,REPORTING,2021-05-30,19257.0,19257.0,1.1,1.072,AstraZeneca - AZD1222,,1.0
Kuwait,KWT,EMRO,REPORTING,2021-04-28,1120000.0,,26.226,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty",2020-12-28,3.0
Kyrgyzstan,KGZ,EURO,OWID,2021-06-09,54101.0,,0.8,,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V",2021-04-28,2.0
